Statistical information for the repository 'jquery' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Alexis Abril                                                              . 
Anton Kovalyov                                      .                       
Anton Matzneller              .          .  ---------                       
Ben Alman                     .                                .            
Brandon Sterne                           .                                  
Brian Brennan                                                             . 
Carl Fürstenberg                                                          . 
Charles McNulty                                     .          .            
Colin Snover                  .  +++++++++          .                       
Corey Frang                              .          .                       
Dan Heberden                             .          .          .          . 
Dave Methvin                  .          .          .          .          . 
David Murdoch                                       .                       
Digitalxero                              .                                  
Gianni Alessandro Ch          .          .                                  
Gilmore Davidson                                                          . 
James Burke                   .                     .                     . 
Jared Grippe                             .                                  
Jess Thrysoee                                                  .            
John Firebaugh                                                            . 
John Resig                    .          .          .          +   ---+++++ 
Jordan Boesch                                       .          .          . 
Josh Varner                                         .                       
Julian Aubourg         ---+++++   ---+++++          .  ----+++++        -++ 
Lee Carpenter                                                             . 
Louis-Rémi Babé               .                     .          .   ----++++ 
Mathias Bynens                           .          .                       
Michael Murray                                                 .            
Richard D. Worth                                               .            
Rick Waldron                  .          .          .          .          + 
Sam Bisbee                                                                . 
Scott González                           .                                  
Scott Jehl                    .          .                                  
Sylvester Keil                           .                                  
Timmy Willison                           .          .          +      --+++ 
Xavi Ramirez                             .                                  
Yehuda Katz                              .                                  
Modified Lines:           10609       8613      16252       1630       9296 

Author                  2011-05    2011-06    2011-07    2011-08    2011-09 
Anton Ryzhov                                                   .            
Corey Frang                   .          +          +                     + 
Daniel Pihlstrom              .                                             
Dave Methvin                                                 -++   ----++++ 
Denis Knauf                                         .                       
Greg Hazel                               .                                  
John Resig                 -+++          .                                  
Julian Aubourg                +              -+++++++          .       -+++ 
Louis-Rémi Babé               .                                             
Mathias Bynens                .                                           . 
Mike Sherov                           -+++                                  
Rick Waldron                  .     -+++++    --+++++       ++++          + 
Sahab Yazdani                 .                                             
Schalk Neethling                         .                                  
Scott Hughes                  .                                             
Scott Jehl                                                     .            
Steen Nielsen                                       .                       
Timmy Willison        ---++++++   ----++++          .  ----+++++        -++ 
avaly                         .                                             
Modified Lines:            1580        509        390        512       5132 

Author                  2011-10    2011-11    2011-12    2012-01    2012-02 
Arne de Bree                                                              . 
Berker Peksag                            .                                  
Corey Frang                   .          .                                  
Daniel Herman                            .                                  
Dave Methvin           ---+++++          .          .          +          . 
James Burke                              .                                  
Joe Presbrey                                                   .            
Julian Aubourg                .          .                     .            
Justin                                   .                                  
Mathias Bynens                .                                             
Matt Mueller                             .                                  
Mike Sherov                   . -----+++++  -----++++  --+++++++  -----++++ 
Oleg Gaidarenko                          .                     +            
Rafaël Blais Masson                                 .                       
Richard Gibson                                      .          .          + 
Rick Waldron                  +          .          .          +            
Scott González                                                            . 
Shi Chuan                     .                                             
Sindre Sorhus                                                             . 
Timmy Willison           ---+++          +          .          .            
Toby Brain                               .                                  
Vladislav Zarakovsky                                                      - 
cmc3cn                                                         .            
Modified Lines:            1234       4854      10800        649        298 

Author                  2012-03    2012-04    2012-05    2012-06    2012-07 
Andrew E Monat                           .                                  
Arne de Bree                             .                                  
Ben Alman                                           .                       
Chad Killingsworth                                               -----+++++ 
Charles McNulty                          .                                  
Chris Faulkner                                                            . 
Corey Frang                        ---++++        -++          .          . 
Daniel Chatfield                                                          . 
Dave Methvin          --+++++++    ---++++          .          .         -+ 
David Benjamin                                                            . 
Dominik D. Geyer                         .                                  
Elijah Manor                                                              . 
Jason Moon                                          .                       
Jeffery To                                                     .            
Julian Aubourg         ---+++++      --+++          +          .       --++ 
Jörn Zaefferer                                      .          .            
Louis-Rémi Babé               .                                             
Mathias Bynens                .                                             
Matt Farmer                                         .                       
Mike Sherov                   +        -++         -+          .         -+ 
Nowres Rafid                                                              . 
Oleg Gaidarenko                          .          +                     . 
Oskari                                   .                                  
Richard Gibson                          -+   ---+++++          .         -+ 
Rick Waldron                 ++  ----+++++          .  ---------          . 
Robert Katić                             .                                  
Scott González                                      .                       
Sindre Sorhus                 .          .          .          .            
Timmy Willison                .                     +          .          . 
Timo Tijhof                              .          .          .            
Uri Gilad                                                                 . 
Vladimir Zhuravlev                                             .            
Yehuda Katz                              .                                  
tsinha                                   .                                  
Modified Lines:             537       4981       2922      10928       3060 

Author                  2012-08    2012-09    2012-10    2012-11    2012-12 
Akintayo Akinwunmi                                  .                       
Alexander Farkas                                               .            
Allen J Schmidt Jr                                  .                       
Benjamin Truyman                                    .                       
Bennett Sorbo                                                             . 
Carl Danley                                         .                       
Corey Frang                   .                                .            
Daniel Gálvez                                       .                       
Dave Methvin               --++   ---+++++        --+          .        --- 
David Bonner                                       -+                       
David Fox                                           .                       
Devin Cooper                                                   .            
Elijah Manor          ----+++++                                             
Erick Ruiz de Chávez                         --++++++                       
Greg Lavallee                                       .                       
Ismail Khair                                        .                       
James Huston                                        +                       
Jay Merrifield                                      .                       
Jonathan Sampson                                    .                       
Julian Aubourg                .          +          -  ------+++   ----++++ 
MORGAN                                              .                       
Marcel Greter                                       .                       
Markus Staab                             +                                  
Matt Farmer                                                    .            
Matthias Jäggli                                     .                       
Mike Pennisi                  .                                             
Mike Petrovich                                      .                       
Mike Sherov                   .          +        -++                     . 
Nikita Govorov                .                                             
Oleg Gaidarenko               .                     +          .         -+ 
Paul Ramos                                                                . 
Richard Gibson                .     ---+++          .   ----++++         -+ 
Rick Waldron                  .                 --+++                    -+ 
Rod Vagg                                                                  . 
Roland Eckl                                         .                       
Sai Lung Wong                                       +                       
Scott González                                                 .          . 
Sebastian Burkhard                                                        . 
Timmy Willison                .          .          .                     - 
Timo Tijhof                                    --++++          .          . 
Wesley Walser                 .                                             
Yiming He                                           .                       
Modified Lines:            2134        230       4036       6751      10280 

Author                  2013-01    2013-02    2013-03    2013-04    2013-05 
Adam Coulombe                 .                                             
Andrew Plummer                .                                             
Chris Talkington                                                          + 
Corey Frang                   +                                .            
Danil Somsikov                .                                             
Dave Methvin           -----+++          .                     .      --+++ 
Dmitry Gusev                             .                                  
Eddie Monge                                                               . 
Isaac Z. Schlueter                       .                                  
James Burke                              .                                  
Jason Bedard                                                              . 
Jean Boussier                 .                                             
Julian Aubourg              --+          .                                . 
Kyle Robinson Young                                                       . 
Li Xudong                                           .                       
Mark Raddatz                             .                                  
Michał Gołębiowski-O                         ----++++       --++          + 
Mike Sherov                   .                                             
Nguyen Phuc Lam                          .          .                       
Oleg Gaidarenko              -+          .                     +          . 
Pascal Borreli                           .                                  
Renato Oliveira dos                                            .            
Richard Gibson              -++  ----+++++          .      --+++  --+++++++ 
Rick Waldron                       ---++++         -+          .         ++ 
Scott González                           .                                  
Timmy Willison                .                     .  ----+++++          . 
Timo Tijhof                              .                                  
Tom H Fuertes                                       .                       
nanto_vi                      .                                             
Modified Lines:            3016       2304        914       3534        619 

Author                  2013-06    2013-07    2013-08    2013-09    2013-10 
Amey Sakhadeo                                       .          .            
Anthony Ryan                                                   .            
Chris Price                                         .                       
Daniel Herman                                       .                       
Dave Methvin                             .                     .          . 
George Kats                                                               . 
Guy Bedford                                         .                       
Jason Bedard               -+++                                             
Jason Merino                             .                                  
Jeremy Dunck                                        .                       
Jörn Zaefferer         ---+++++                                             
Lihan Li                                                                  . 
Michał Gołębiowski-O                     .          .          +          . 
Mike Sidorov                                                   .            
Nguyen Phuc Lam                          .                                  
Oleg Gaidarenko                          .          .          .          . 
Richard Gibson                                      .          .          . 
Rick Waldron               ++++                                             
Ronny Springer                                                            . 
Scott González                                                            . 
Terry Jones                   .                     .                       
Timmy Willison                   ----+++++  +++++++++  ----+++++ ----------- 
Timo Tijhof                                                    .          . 
Modified Lines:              78        144      30131       5290      26498 

Author                  2013-11    2013-12    2014-01    2014-02    2014-03 
Benjy Cui                                                                 . 
Chris Antaki                  .          .                                  
Christopher Jones                        .                                  
Corey Frang                   .                                             
Dave Methvin                  .          .       -+++            ---------- 
David Hong                    .                                             
Forbes Lindesay                                     .                       
Ilya Kantor                   .                                             
Jakob Stoeck                  .                                             
John Hoven                                                                . 
John Paul                     .                                             
Jonathan Sampson                                                          . 
Julian Aubourg                                   ++++                       
Jörn Zaefferer                                      .                     . 
Louis-Rémi Babé                                                           . 
Marian Sollmann               .                                             
Michał Gołębiowski-O          .          .  -++++++++  ----+++++          . 
Oleg Gaidarenko      ++++++++++                  --++          .          . 
Philip Jägenstedt                                                         . 
Richard Gibson                .          .          .          .          . 
Rick Waldron                                                   .            
Rodrigo Rosenfeld Ro                                                      . 
Roman Reiß                                                                . 
S. Andrew Sheppard                                                        . 
Scott González                                                            . 
Sindre Sorhus                 .                                             
Timmy Willison                .  +++++++++    ---++++                     . 
Timo Tijhof                              .                                  
njhamann                      .                                             
Modified Lines:           11055       9694        295       2983       6855 

Author                  2014-04    2014-05    2014-06    2014-07    2014-09 
Aurelio De Rosa                                                           . 
Chris Antaki                                                   .   -----+++ 
Christian Kosmowski           .                                             
Daniel Herman                                                             . 
Dave Methvin                  .                     .                       
Jason Bedard                                                              . 
Liang Peng                               .                                  
Michał Gołębiowski-O          .       ++++          .          .            
Nazar Mokrynskyi                                                         -- 
Oleg Gaidarenko       ---++++++        --+          .                   -++ 
Richard Gibson                .                     .                     + 
Scott González                              ---------                       
TJ VanToll                                          .                       
Timmy Willison                    ++++++++          .  ---++++++            
Timo Tijhof                                                    .            
Modified Lines:             814        102      11820        711         86 

Author                  2014-10    2014-11    2014-12    2015-01    2015-02 
Aditya Raghavan                                     .          .            
Anne-Gaelle Colom                                              .            
Arthur Verschaeve             .                                             
Ben Toews                                           .                       
Bin Xin                                             .                       
Dan Hart                                 +                                  
Daniel Husar                                        .                       
Dave Methvin                                        .          -            
David Corbacho                                      .                       
Frederic Hemberger                                  .                       
George Mauer                                                   .            
Jörn Zaefferer                                                       --++++ 
Leonardo Braga                                                 .            
Michał Gołębiowski-O   --------  -------++          .          .       -+++ 
Mike Sidorov                                        .                       
Nicolas HENRY                                       .                       
Oleg Gaidarenko               +          +          .          .   --++++++ 
Richard Gibson                              ----+++++       --++            
Shivaji Varma                                       .                       
Timmy Willison                           .          .   ---+++++            
Timo Tijhof                                                    .            
Veaceslav Grimalschi                                .                       
Victor Homyakov                                     .          .            
Modified Lines:              26        216       3637        981        503 

Author                  2015-03    2015-04    2015-05    2015-06    2015-07 
Alexander O'Mara                         .                                  
Arthur Stolyar                                      .                       
Bastian Buchholz                         .                                  
Bruno Pérel                                                              . 
Chris Rebert                                        .                       
Corey Frang                                             ++++++++            
Dave Methvin                  .                                             
Gabriel Schulhof                                    .                       
Gilad Peleg                                                    .            
Jason Bedard                  .                                           . 
Marek Lewandowski                                                         . 
Martin Naumann                                                 .            
Michał Gołębiowski-O          .      -++++          .          .   -+++++++ 
Mu Haibao                                           .                       
Oleg Gaidarenko               .                     .          .  --+++++++ 
Richard Gibson        -++++++++    --+++++      ---++                       
Richard McDaniel                                    .                       
Rick Waldron                  -                                             
Thomas Tortorini              +                                .          . 
Timmy Willison                .  ---++++++   ---+++++          .          + 
Winston Howes                 .                                             
Modified Lines:            1488        792       2245       7677        733 

Author                  2015-08    2015-09    2015-10    2015-11    2015-12 
Anthony Ryan                             .                                  
Aurelio De Rosa                                    ++                       
Christian Grete                                     .                       
Connor Atherton                                     .                       
Daniel Nill                              .                                  
Dave Methvin                                ----+++++   ---+++++            
Gary Ye                                             .                       
Jae Sung Park                                                             . 
Jason Bedard                             .                                  
Joelle Fleurantin                                   .                       
Liza Ramo                                           .                       
Martin Naumann                                      .                       
Michał Gołębiowski-O          .       -+++          +                       
Oleg Gaidarenko        ----++++  --+++++++     -+++++              --++++++ 
Richard Gibson                .          .        -++          .            
Sean Henderson                           .                                  
Thomas Tortorini                         .          .                       
Timmy Willison                                    --+     -+++++      +++++ 
Yongwoo Jeon                             .                                  
Modified Lines:           10557       2395       1117       1649         59 

Author                  2016-01    2016-02    2016-03    2016-04    2016-05 
Alexander K                                                    .            
Alexander Lisianoi                       +          .                       
Bernhard M. Wiedeman          .                                             
Damian Senn                                                    .            
Dave Methvin                  .                            --+++          . 
Devin Wilson                  .                                             
Felipe Sateler                                                            . 
Jason Bedard                                                             -+ 
Jha Naman                     .                                             
Joe Trumbull                                                   .            
Jon Dufresne                  .                                             
Josh Soref                    .                                             
Jun Sun                       .                                             
Leonardo Braga                .                                             
Martijn W. van der L          .                                             
Michał Gołębiowski-O -----++++++   -------+   -----+++      +++++          . 
Oleg Gaidarenko               .  ---++++++          +          +          + 
Ralin Chimev                                                   .            
Richard Gibson                .                     .   ---+++++   ---+++++ 
Steve Mao                     .                                             
Timmy Willison                .          -         ++      +++++          . 
Todor Prikumov                .                                             
Vitaliy Terziev                     -+++++                                  
William Robinet                          .                                  
Zack Hall                     .                                             
Modified Lines:           16891        178        877       1213       1063 

Author                  2016-06    2016-07    2016-08    2016-09    2016-10 
Dave Methvin                  .                    ++          .            
Michał Gołębiowski-O          +      +++++                     -   ----++++ 
Oleg Gaidarenko        ----++++   --++++++         -+                       
Richard Gibson                               --++++++          .            
Scott González                .                                             
Steve Mao                                                      .            
Timmy Willison                                      .   --++++++            
Modified Lines:             459        330        315        233          4 

Author                  2016-11    2016-12    2017-01    2017-02    2017-03 
Alex Padilla                                      -++                       
Boom Lee                                                                  . 
Connor Atherton                                                        ++++ 
David Broder-Rodgers                   -++                                  
Jason Bedard                         -++++                                  
Manoj Kumar           ----+++++                         ------++            
Michał Gołębiowski-O              ----++++                              +++ 
Oleg Gaidarenko                                                           - 
Richard Gibson                       --+++   --++++++                       
Steve Mao                                                                 - 
Timmy Willison                           .                     .   ---+++++ 
Timo Tijhof                                                               . 
karan-96                                                                -++ 
南漂一卒                                          +++                       
Modified Lines:              41        166        269         27        583 

Author                  2017-04    2017-05    2017-06    2017-07    2017-08 
Andreas Solleder                                    .                       
Erik Lax                                                       .            
Jason Bedard                                        .          .            
Jordan Beland                                                             . 
Michał Gołębiowski-O             -----++++                                  
Pierre Spring                                                  +            
Richard Gibson        --+++++++             --+++++++  ----+++++  --+++++++ 
Shashanka Nataraj                                              .            
Timmy Willison                                                 .            
Modified Lines:             619         81        208        799         85 

Author                  2017-09    2017-10    2017-11    2017-12    2018-01 
Dave Methvin                                                             -+ 
Henry Zhu                     .                                             
Jason Bedard                                                       ----++++ 
Michał Gołębiowski-O         -+  -++++++++  +++++++++                       
Nilton Cesar                                                              . 
Richard Gibson         ----++++                   --+                       
Saptak Sengupta                                                .          . 
Timmy Willison                                                         -+++ 
Timo Tijhof                                            ----+++++          . 
basil.belokon                                                             . 
Modified Lines:             105         24         25       5184       1788 

Author                  2018-02    2018-03    2018-04    2018-05    2018-06 
Dave Methvin                     ----+++++              --++++++            
Ed Sanders                                                                . 
Jason Bedard                             .                        +++++++++ 
Luis Emilio Velasco                                      -++++++            
Michał Gołębiowski-O   -+++++++          +   --++++++          .         ++ 
Oleg Gaidarenko                          .                                  
Richard Gibson                                                -+            
Saptak Sengupta                        -++                                  
Timmy Willison                                                            + 
tmybr11                                             .                       
Modified Lines:               6        153        143        113        100 

Author                  2018-07    2018-08    2018-09    2018-10    2018-11 
Andrei Fangli                                                             . 
Bert Zhang                       +++++++++                                  
Jason Bedard                      ----++++                                  
Michał Gołębiowski-O   ++++++++         -+              ++++++++          . 
Richard Gibson           ++++++              --++++++                       
Saptak Sengupta                                                    ++++++++ 
Timmy Willison                                                         -+++ 
Modified Lines:              54         15         98         64        265 

Author                  2018-12    2019-01    2019-02    2019-03    2019-04 
Marja Hölttä                 -+                                             
Michał Gołębiowski-O         ++  -++++++++             ---++++++  --+++++++ 
Richard Gibson         -+++++++                                .          . 
Timmy Willison                +                                             
abnud1                                       --++++++                       
buddh4                                                         .            
Modified Lines:              68        161      15471       7541      39201 

Author                  2019-05    2019-06    2019-07    2019-08    2019-09 
Ahmed.S.ElAfifi                                                          ++ 
Michał Gołębiowski-O   ------++   ++++++++   -----+++  ---------       -+++ 
Pat O'Callaghan               .                                             
Richard Gibson                                                 .            
Sean Robinson                                                     +++++++++ 
Shashanka Nataraj                                              .            
Timmy Willison                                                 .            
Wonseop Kim                   .                                             
Modified Lines:             510       1929       4859      41831        278 

Author                  2019-10    2019-11    2019-12    2020-01    2020-02 
Michał Gołębiowski-O   ---+++++  ------+++   --++++++   ----++++   -+++++++ 
Modified Lines:             476       1817        322        573         69 

Author                  2020-03    2020-04    2020-05    2020-06    2020-07 
Christian Wenz                          ++                                  
Ed Sanders                               .                                + 
Michał Gołębiowski-O  ----+++++   -+++++++   -------+   ----++++   ++++++++ 
Pierre Grimaud                           .                                  
Wonseop Kim                                         +                       
Modified Lines:             721        254        140         46        148 

Author                  2020-08    2020-09    2020-10    2020-12    2021-01 
Dallas Fraser                 +                                             
Michał Gołębiowski-O   ---+++++   ------++   ++++++++   ++++++++    -----++ 
Timmy Willison                                                     -+++++++ 
Wonhyoung Park                .                                             
高灰                                     +                                  
Modified Lines:             133        482         35         98        192 

Author                  2021-02    2021-03    2021-04    2021-05    2021-07 
Michał Gołębiowski-O   ----++++   -+++++++   ---+++++   -+++++++  ---++++++ 
Timmy Willison            +++++        --+                                  
Timo Tijhof                                             ------++            
Modified Lines:              23         41         58         50         30 

Author                  2021-09    2021-10    2021-11    2021-12    2022-01 
Bruno PIERRE                                                              . 
Michał Gołębiowski-O  ---++++++   --++++++   ++++++++  --+++++++  ----+++++ 
Richard Gibson                                                            . 
Timmy Willison                                                 .          . 
fecore1                      ++                                             
ygj6                                               -+                       
Modified Lines:             195         49         47         28        893 

Author                  2022-02    2022-03    2022-06    2022-08    2022-09 
Anders Kaseorg                                                            . 
Michał Gołębiowski-O  -++++++++   ----++++   --++++++  ------+++   ++++++++ 
Modified Lines:               8        345        215         12        105 

Author                  2022-10    2022-11    2022-12    2023-01    2023-02 
Michał Gołębiowski-O   ---+++++   -+++++++  ----+++++   ---+++++   ---+++++ 
Timmy Willison                                     --                       
Modified Lines:             381        320        227        196       1147 

Author                  2023-03    2023-04    2023-05    2023-06    2023-07 
Dimitri Papadopoulos                                           .            
Michał Gołębiowski-O   -+++++++   --++++++   ---+++++  --+++++++  ---++++++ 
Timmy Willison                .                                             
Timo Tijhof                                                    .            
Modified Lines:             582         84         41        387        633 

Author                  2023-08    2023-09    2023-11    2024-01    2024-02 
Michał Gołębiowski-O                 --+++   ++++++++         -+            
Richard Gibson                                              -+++            
Timmy Willison        ---++++++  ---++++++             +++++++++  ----+++++ 
Modified Lines:               3       3375         62        208      22730 

Author                  2024-03    2024-04    2024-05    2024-06    2024-07 
J.Son                         .                                             
Liam James                               .                                  
Michał Gołębiowski-O        +++          .   -+++++++          .            
Timmy Willison         ---+++++   -----+++              ----++++   -------+ 
Modified Lines:            1880        780        113        346     128074 

Author                  2024-08    2024-09    2024-10    2024-11    2024-12 
Michał Gołębiowski-O                    ++              --++++++  --+++++++ 
Timmy Willison         ---+++++                                .            
ac-mmi                            ++++++++                                  
neogy-akash                                  --++++++                       
Modified Lines:             482         58          4         85         46 

Author                  2025-01    2025-02    2025-03    2025-05    2025-08 
Michał Gołębiowski-O              ---+++++   -+++++++   ----++++   -------+ 
Timmy Willison        ---------                                             
studystill                                                                . 
Modified Lines:            1992        377         41          2     128369 

Author                  2025-09    2025-10    2025-11    2026-01    2026-02 
Apoorv Darshan                                                          +++ 
Michał Gołębiowski-O   -+++++++   ------++          -              ++++++++ 
Timmy Willison                              -++++++++   -------+            
Modified Lines:             142         93         74     256120        232 

Author                  2026-03    2026-04    2026-05    2026-06    2026-07 
Michał Gołębiowski-O   ++++++++   -+++++++   ++++++++   ++++++++            
Naveed Khan                                                        ++++++++ 
Timmy Willison                           -                                  
TomTensor                             ++++                                  
metsw24-max                                         .                       
Modified Lines:            1020        345        157        102         49 

Author                  2026-08    2026-09 
Michał Gołębiowski-O   ----++++   -----+++ 
Modified Lines:               2         13 

The following files are suspiciously big (in order of severity):
test/data/jquery-3.7.1.js (8829 estimated lines of code)
test/unit/ajax.js (3754 estimated lines of code)
test/unit/event.js (3407 estimated lines of code)
test/unit/manipulation.js (3135 estimated lines of code)
test/unit/effects.js (2640 estimated lines of code)
test/unit/selector.js (2574 estimated lines of code)
test/unit/css.js (1873 estimated lines of code)
test/unit/attributes.js (1828 estimated lines of code)
test/unit/core.js (1598 estimated lines of code)
src/selector.js (1149 estimated lines of code)
test/unit/deferred.js (1136 estimated lines of code)
test/unit/traversing.js (1085 estimated lines of code)
test/unit/data.js (1023 estimated lines of code)
test/unit/dimensions.js (810 estimated lines of code)
src/event.js (716 estimated lines of code)
src/ajax.js (703 estimated lines of code)
test/unit/offset.js (698 estimated lines of code)
src/effects.js (631 estimated lines of code)
test/unit/wrap.js (512 estimated lines of code)

The following files have an elevated cyclomatic complexity (in order of severity):
test/data/jquery-3.7.1.js (2745 in cyclomatic complexity)
test/unit/selector.js (1123 in cyclomatic complexity)
test/unit/manipulation.js (935 in cyclomatic complexity)
test/unit/ajax.js (917 in cyclomatic complexity)
test/unit/event.js (764 in cyclomatic complexity)
test/unit/attributes.js (657 in cyclomatic complexity)
test/unit/effects.js (652 in cyclomatic complexity)
test/unit/core.js (577 in cyclomatic complexity)
test/unit/css.js (524 in cyclomatic complexity)
test/unit/traversing.js (486 in cyclomatic complexity)
src/selector.js (397 in cyclomatic complexity)
test/unit/data.js (325 in cyclomatic complexity)
test/unit/dimensions.js (303 in cyclomatic complexity)
test/unit/deferred.js (292 in cyclomatic complexity)
test/unit/offset.js (221 in cyclomatic complexity)
src/event.js (217 in cyclomatic complexity)
src/ajax.js (215 in cyclomatic complexity)
src/effects.js (204 in cyclomatic complexity)
test/unit/wrap.js (124 in cyclomatic complexity)
src/core.js (122 in cyclomatic complexity)
test/unit/basic.js (117 in cyclomatic complexity)
src/manipulation.js (103 in cyclomatic complexity)
test/unit/tween.js (102 in cyclomatic complexity)
test/unit/queue.js (96 in cyclomatic complexity)
test/unit/callbacks.js (92 in cyclomatic complexity)
src/css.js (88 in cyclomatic complexity)
test/data/mock.php (86 in cyclomatic complexity)
test/data/testinit.js (82 in cyclomatic complexity)
test/unit/support.js (79 in cyclomatic complexity)
src/deferred.js (78 in cyclomatic complexity)
test/unit/animation.js (73 in cyclomatic complexity)
test/unit/serialize.js (64 in cyclomatic complexity)
src/attributes/classes.js (61 in cyclomatic complexity)
build/release/changelog.js (54 in cyclomatic complexity)
src/callbacks.js (53 in cyclomatic complexity)
src/traversing.js (52 in cyclomatic complexity)
src/offset.js (52 in cyclomatic complexity)

The following files have an elevated cognitive complexity (in order of severity):
test/data/jquery-3.7.1.js (1851 in cognitive complexity)
src/selector.js (343 in cognitive complexity)
src/ajax.js (181 in cognitive complexity)
src/effects.js (156 in cognitive complexity)
src/event.js (144 in cognitive complexity)
test/unit/selector.js (96 in cognitive complexity)
src/manipulation.js (78 in cognitive complexity)
src/core.js (68 in cognitive complexity)
src/css.js (56 in cognitive complexity)
test/unit/css.js (53 in cognitive complexity)
test/unit/effects.js (47 in cognitive complexity)
test/unit/manipulation.js (46 in cognitive complexity)
src/manipulation/domManip.js (46 in cognitive complexity)

The following responsibilities, by author, were found in the current revision of
the repository (comments are excluded from the line count, if possible):

Adam Coulombe is mostly responsible for:
    30 test/unit/callbacks.js

Adam J. Sontag is mostly responsible for:
     2 test/unit/traversing.js
     1 test/data/jquery-3.7.1.js
     1 src/traversing.js

Aditya Raghavan is mostly responsible for:
    10 test/unit/offset.js
     9 test/unit/css.js
     8 test/unit/event.js
     2 test/data/jquery-3.7.1.js
     2 src/offset.js

Ahmed.S.ElAfifi is mostly responsible for:
    13 test/unit/core.js
     6 test/data/jquery-3.7.1.js
     5 src/var/flat.js
     1 src/manipulation/domManip.js
     1 src/core.js

Alexander Farkas is mostly responsible for:
     7 test/unit/event.js
     1 test/unit/attributes.js

Alexander K is mostly responsible for:
    11 test/unit/serialize.js

Alexander Lisianoi is mostly responsible for:
     6 test/data/testinit.js
     4 test/unit/attributes.js
     1 test/unit/selector.js

Alexis Abril is mostly responsible for:
     8 test/unit/data.js
     1 test/data/jquery-3.7.1.js
     1 src/data.js

Allen J Schmidt Jr is mostly responsible for:
    31 test/unit/event.js

Amey Sakhadeo is mostly responsible for:
    10 test/unit/core.js

Anders Kaseorg is mostly responsible for:
     3 test/unit/css.js

Andreas Solleder is mostly responsible for:
     1 test/unit/core.js

Andrei Fangli is mostly responsible for:
     5 test/data/jquery-3.7.1.js
     5 src/ajax.js
     4 test/unit/ajax.js
     2 test/data/mock.php

Andrew Plummer is mostly responsible for:
    12 test/unit/event.js

Anton Matzneller is mostly responsible for:
    25 test/unit/effects.js
    16 test/unit/attributes.js
    15 test/unit/event.js
     2 test/data/jquery-3.7.1.js
     2 src/serialize.js
     1 test/unit/manipulation.js
     1 test/unit/ajax.js

Anton Ryzhov is mostly responsible for:
     5 test/unit/core.js

Apoorv Darshan is mostly responsible for:
    14 test/unit/css.js
    14 test/unit/ajax.js
    10 test/data/mock.php
     5 src/var/createElement.js
     5 src/css/support.js
     3 src/ajax.js
     2 src/css/finalPropName.js

Ariel Flesler is mostly responsible for:
   114 test/unit/event.js
   100 test/data/jquery-3.7.1.js
    43 src/event.js
    42 test/unit/effects.js
    39 test/unit/core.js
    17 test/unit/data.js
    14 src/data.js
    13 src/effects.js
     9 src/event/trigger.js
     8 src/queue.js

Arne de Bree is mostly responsible for:
     6 test/unit/manipulation.js

Arthur Stolyar is mostly responsible for:
    16 test/unit/offset.js
     1 test/data/jquery-3.7.1.js
     1 src/offset.js

Aurelio De Rosa is mostly responsible for:
    73 test/unit/core.js

Bastian Buchholz is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/attributes/attr.js

Batiste Bieler is mostly responsible for:
     5 test/unit/attributes.js

Ben Alman is mostly responsible for:
    21 test/unit/traversing.js
    13 test/data/jquery-3.7.1.js
    12 test/unit/ready.js
     5 src/traversing.js
     3 src/serialize.js
     3 src/core.js
     2 src/ajax.js
     1 test/unit/event.js

Ben Toews is mostly responsible for:
    16 test/data/jquery-3.7.1.js
    14 src/ajax.js
     3 test/unit/ajax.js

Benjamin Truyman is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/ajax.js

Bennett Sorbo is mostly responsible for:
    11 test/unit/css.js

Bin Xin is mostly responsible for:
     4 test/unit/manipulation.js
     1 test/data/jquery-3.7.1.js
     1 src/manipulation/_evalUrl.js

Brandon Aaron is mostly responsible for:
   164 test/data/jquery-3.7.1.js
   103 test/unit/manipulation.js
    99 test/unit/offset.js
    94 test/unit/attributes.js
    53 test/unit/dimensions.js
    47 test/unit/event.js
    41 test/unit/traversing.js
    41 src/offset.js
    34 test/unit/css.js
    30 src/event.js

Brian Brennan is mostly responsible for:
     7 test/unit/event.js

Bruno PIERRE is mostly responsible for:
     1 test/unit/selector.js
     1 test/data/jquery-3.7.1.js
     1 src/var/splice.js

Carl Danley is mostly responsible for:
    11 test/data/jquery-3.7.1.js
    11 src/data.js
     1 test/unit/data.js

Carl Fürstenberg is mostly responsible for:
     1 test/unit/css.js

Chad Killingsworth is mostly responsible for:
    85 test/unit/offset.js
    25 test/unit/css.js
    18 test/unit/dimensions.js
    14 test/unit/core.js
    12 test/unit/event.js
    10 test/unit/effects.js
    10 test/unit/attributes.js
     5 test/unit/deferred.js
     4 test/unit/serialize.js
     4 test/unit/data.js

Charles McNulty is mostly responsible for:
    10 test/unit/manipulation.js

Chris Antaki is mostly responsible for:
    17 test/data/jquery-3.7.1.js
    11 test/unit/manipulation.js
     4 src/manipulation.js
     4 src/effects.js
     3 src/manipulation/buildFragment.js
     2 src/traversing/findFilter.js
