Statistical information for the repository 'jquery' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Justin Meyer                     4           316             49            0.03
Jörn Zaefferer                 291          7030           5119            1.08
Karl Swedberg                   12           247            178            0.04
Klaus Hartl                      2            15              8            0.00
Kyle Robinson Young              1             1              1            0.00
Lee Carpenter                    1            19              1            0.00
Leonardo Braga                   3           103              6            0.01
Li Xudong                        2             2              2            0.00
Liam James                       1             8              4            0.00
Liang Peng                       1             0              1            0.00
Lihan Li                         1             9              0            0.00
Liza Ramo                        2            18              1            0.00
Louis-Rémi Babé                 43          1380           1270            0.23
Luis Emilio Velasco              1            37              7            0.00
MORGAN                           1            10              1            0.00
Manoj Kumar                      2            30             36            0.01
Marcel Greter                    1            10              2            0.00
Marek Lewandowski                1            24             22            0.00
Marian Sollmann                  1             2              2            0.00
Marja Hölttä                     1             8              6            0.00
Mark Raddatz                     1            13              2            0.00
Markus Staab                     1            13              2            0.00
Martijn W. van der L             1            12              1            0.00
Martin Naumann                   2            12              1            0.00
Mathias Bynens                   6            25             23            0.00
Matt Curry                       1             4              4            0.00
Matt Farmer                      2            14              8            0.00
Matt Mueller                     1             0              2            0.00
Matthias Jäggli                  1            10              1            0.00
Michael Geary                    1             6              4            0.00
Michael Monteleone               1            41              5            0.00
Michael Murray                   1            18              3            0.00
Michał Gołębiowski-O           434         82565         180302           23.30
Mike Alsup                      11            75             30            0.01
Mike Pennisi                     1             1              1            0.00
Mike Petrovich                   1             6              1            0.00
Mike Sherov                     78          8171           8662            1.49
Mike Sidorov                     2             5              6            0.00
Mu Haibao                        1             0              4            0.00
Naveed Khan                      1            45              4            0.00
Nazar Mokrynskyi                 1             2             12            0.00
Neeraj Singh                     2            12              2            0.00
Nguyen Phuc Lam                  3            38             14            0.00
Nicolas HENRY                    1            24              2            0.00
Nikita Govorov                   1            24              1            0.00
Nilton Cesar                     1            66             58            0.01
Noah Sloan                       1            13              6            0.00
Nowres Rafid                     1             5              2            0.00
Oleg Gaidarenko                238         21434           8859            2.69
Oskari                           1             1              1            0.00
Pascal Borreli                   1             2              2            0.00
Pat O'Callaghan                  1            14              1            0.00
Paul Bakaus                      9           340             19            0.03
Paul Irish                       2            10              2            0.00
Paul Mclanahan                   1             5              5            0.00
Paul Ramos                       3           357            211            0.05
Philip Jägenstedt                1             2              1            0.00
Pierre Grimaud                   1             2              2            0.00
Pierre Spring                    1            58              4            0.01
Pinhook                          1             4              4            0.00
Rafaël Blais Masson              1             4              5            0.00
Ralin Chimev                     1             1              1            0.00
Renato Oliveira dos              2            72              5            0.01
Rich Dougherty                   1             8              3            0.00
Richard D. Worth                 3            53              7            0.01
Richard Gibson                 244         11605           7719            1.71
Richard McDaniel                 1            17              3            0.00
Rick Waldron                   249          5194          11029            1.44
Robert Katić                    22           198             89            0.03
Rod Vagg                         1            31             16            0.00
Rodrigo Rosenfeld Ro             1             4              3            0.00
Roland Eckl                      1             1              1            0.00
Roman Reiß                       1             2              0            0.00
Ron Otten                        1             3              1            0.00
Ronny Springer                   1            46             13            0.01
Russell Holbrook                 1             1              1            0.00
S. Andrew Sheppard               1             6              0            0.00
Sahab Yazdani                    1             1              1            0.00
Sai Lung Wong                    3           114             45            0.01
Sam Bisbee                       1            10              7            0.00
Saptak Sengupta                  4           182             43            0.02
Schalk Neethling                 1             1              1            0.00
Scott González                  25           137          11233            1.01
Scott Hughes                     1             2              0            0.00
Scott Jehl                       4             9              6            0.00
Sean Catchpole                   5             8              5            0.00
Sean Henderson                   1             5              1            0.00
Sean Robinson                    1           145              0            0.01
Sebastian Burkhard               2            19              6            0.00
Shashanka Nataraj                2            75             71            0.01
Shi Chuan                        1             1              1            0.00
Shivaji Varma                    1             2              3            0.00
Sindre Sorhus                    7            66             27            0.01
Steen Nielsen                    1             4              3            0.00
Stefan Petre                     7           226            204            0.04
Steve Mao                        3            46             40            0.01
Sylvester Keil                   1            31              3            0.00
TJ Holowaychuk                   1             4              4            0.00
TJ VanToll                       2            19              1            0.00
Terry Jones                      2             3              4            0.00
Thomas Tortorini                 6           266            114            0.03
Timmy Willison                 514        126979         370383           44.09
