Statistical information for the repository 'pango' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Behdad Esfahbod                      -++++       ++++         ++            
Chun-wei Fan                                        .                       
Khaled Hosny                             .                                  
Krzesimir Nowak                                                      ---+++ 
Matthias Clasen        --++++++   ++++++++   ---+++++   ----++++   ++++++++ 
Modified Lines:               4        644         65         27        132 

Author                  2016-02    2016-03    2016-04    2016-05    2016-06 
Behdad Esfahbod                   ++++++++                     +            
Benjamin Otte                                           ----++++            
Chun-wei Fan                                 ---+++++              ++++++++ 
Khaled Hosny           ----++++                                             
Kristian Rietveld                                   +                       
Modified Lines:               2         58        542        276       1332 

Author                  2016-08    2016-09    2016-11    2017-01    2017-02 
Behdad Esfahbod                                                           . 
Chun-wei Fan                  .             ---++++++   ----++++            
Matthias Clasen        --++++++   ----++++                                  
Patrick Griffis                         ++                                  
Philip Withnall                                                   ---++++++ 
Modified Lines:              95          5          3          2         35 

Author                  2017-04    2017-05    2017-06    2017-07    2017-08 
Behdad Esfahbod               .          .               +++++++      -++++ 
Chun-wei Fan                             .                                + 
Emmanuele Bassi                   --++++++                                . 
John Ralls                                                         -----+++ 
Matthias Clasen            -+++              ----++++          .      +++++ 
Nicolas Hake           --++++++                                             
Peng Wu                                                 ----++++         ++ 
Philip Withnall              -+                                           . 
Ting-Wei Lan                                                   .            
Modified Lines:             160        213          6       1811        306 

Author                  2017-09    2017-10    2017-11    2017-12    2018-01 
Behdad Esfahbod        ------++                    ++                     - 
Christian Hergert                                                         . 
Khaled Hosny                                           ---------            
Matijs van Zuijlen                       .                                  
Matthias Clasen                                                    ++++++++ 
Peng Wu                           ----++++   ---+++++                       
Timm Bäder                              -+                                  
Modified Lines:              10       1179         61         59        506 

Author                  2018-02    2018-03    2018-04    2018-05    2018-06 
Christoph Reiter                             --++++++                       
Chun-wei Fan                       +++++++                                  
John Ralls                                              ---+++++            
Khaled Hosny           --------                   -++                       
Patrick Griffis                   -----+++                                  
Pravdomil Toman                                                   ---++++++ 
Modified Lines:            1636         19         53         48         46 

Author                  2018-07    2018-08    2018-10    2018-11    2018-12 
Behdad Esfahbod       ---++++++              -+++++++      ----+            
Carsten Pfeiffer                         .                                  
Christian Hergert             .                                             
Christoph Reiter                                                      +++++ 
Chun-wei Fan                     ---------                                . 
Emmanuele Bassi                          .                                  
Jehan                                                          .            
Kouhei Sutou                  .                                             
Matthias Clasen                          .                    ++  ---++++++ 
ONO Yoshio                                          +                       
Peng Wu                                                 --++++++            
Ryan Schmidt                             .                                  
Modified Lines:             323        412        926        824        270 

Author                  2019-01    2019-03    2019-04    2019-05    2019-06 
Behdad Esfahbod        ------++                                             
Chun-wei Fan                                                             ++ 
Egmont Koblinger                                                          . 
Emmanuele Bassi               .                                             
Jeremy Tan                                                         ----++++ 
Matthias Clasen                                         ----++++          . 
Michael Catanzaro                                             -+            
Peng Wu                                      ++++++++                       
Rico Tzschichholz                                   .                       
Ross Burton                       --------                                  
Suyuan Chang                  .                                             
milotype                                                       .            
Modified Lines:             686        166        784       1102         43 

Author                  2019-07    2019-08    2019-09    2019-10    2019-11 
Akira TAGOH                   .                                             
Alexander Larsson                        .                                  
Christoph Reiter              .                                             
Chun-wei Fan                  .          .                                . 
Ebrahim Byagowi                          .                                  
Emmanuele Bassi                          .                                  
Khaled Hosny                 --          +                     .          . 
Matthias Clasen       ----+++++   ---+++++   -----+++   --++++++  ---++++++ 
Peng Wu                                  .          .                       
Rico Tzschichholz                                                         . 
Ting-Wei Lan                  .                                             
Werner Lemberg                                      .                       
aihui zhu                                                      .            
Modified Lines:           12336       2080         89       1112        118 

Author                  2019-12    2020-02    2020-03    2020-04    2020-05 
Benjamin Otte                 .                                             
Emmanuele Bassi                                        ----+++++            
Jan Alexander Steffe                     .                                  
John Beard                                                         ----++++ 
Matthias Clasen       +++++++++                     .                       
Mike FABIAN                       ---+++++                                  
Peng Wu                                  +   --++++++                       
Timm Bäder                                                     .            
Yongsu Park                                                            -+++ 
Modified Lines:             258        104        761        492        317 

Author                  2020-06    2020-07    2020-08    2020-09    2020-11 
Aaron Boxer                   .                                             
Caleb Hearon                  +                                             
Chun-wei Fan                  .                     .                       
Ebrahim Byagowi                          .                                  
Emmanuele Bassi              ++          .                     .            
Evgenii Gurianov                                    .                       
Felix Yan                                           .                       
Jonas Dreßler                 .                                             
Khaled Hosny                  .                                             
Matthias Clasen             +++   --++++++  -++++++++   ++++++++   --++++++ 
Rico Tzschichholz             .                     .                       
Simon McVittie                                      .                     . 
Stephan Bergmann                                               .            
Timm Bäder            ----+++++                                             
Yongsu Park                   .                                             
Modified Lines:            2165        230        210        450         76 

Author                  2021-01    2021-02    2021-03    2021-04    2021-05 
Emmanuele Bassi                                     .                       
Matthias Clasen       -++++++++   -+++++++  -----++++         ++  ----+++++ 
Naveen M K                    .                     .                       
Peng Wu                       .                                             
Seungha Yang                                            ++++++++            
Simon McVittie                .                                             
Szunti                        .                                             
Tavmjong Bah                                        .                       
Victor Mireyev                                                 .            
Weng Xuetian                  .                                             
Modified Lines:             241        420       7943         91       3264 

Author                  2021-06    2021-07    2021-08    2021-09    2021-10 
Artem Rebrov                             .                                  
Bilal Elmoussaoui                                                         . 
Biswapriyo Nath                          .                                  
Chun-wei Fan                                        .                       
Federico Mena Quinte          .          .                                  
Jan Alexander Steffe                     .                                  
Jeremy Bicha                                                   .            
Jordan Petridis               .                                             
Jordi Mas                                                                 + 
Khaled Hosny                                        .                       
Luca Bacci                                          .                       
Marco Trevisan (Trev                     .                                  
Matthias Clasen        -+++++++  -++++++++  ----+++++  -++++++++   -+++++++ 
Peng Wu                                  .                     .   ----++++ 
Modified Lines:            1726       2185      12524        153       1105 

Author                  2021-11    2021-12    2022-01    2022-02    2022-03 
Alexander Kanavin                        .                                  
Benjamin Otte                 .                                             
Bilal Elmoussaoui                        .          .                       
Biswapriyo Nath                          .                                  
Chun-wei Fan                             .                                  
Fabrice Fontaine                                                          . 
Guido Günther                                       .                       
Jeremy Tan                    .                                             
John Ralls                                                                . 
Matthias Clasen        --++++++  ---++++++   -+++++++   ++++++++  ---++++++ 
Peng Wu                       .                                             
Sebastian Keller              .                                             
Simon McVittie                                      .                       
Modified Lines:            8022       6955        301        195        293 

Author                  2022-04    2022-06    2022-07    2022-08    2022-09 
Aki Sakurai                              .                                  
Christoph Reiter       ++++++++                                             
Chun-wei Fan                                                       -+++++++ 
GitS7                                    .                                  
Jordan Petridis                          .                                  
Matthias Clasen              ++   -+++++++  +++++++++  --+++++++          + 
Miloš Komarčević              .                                             
misos1                                           --++                       
Modified Lines:              65        239         45         75       1058 

Author                  2022-10    2022-11    2022-12    2023-01    2023-02 
Chun-wei Fan                  -              -----+++                       
Dominique Quatravaux                                           .            
Emmanuele Bassi                          .                                  
Guillaume Gomez          ---+++                                             
Hugo Herbelin                 .                                             
Luca Bacci                                   ++++++++                       
Matthias Clasen               .  -++++++++              -+++++++   -------+ 
Peng Wu                ----++++                                .            
Sebastian Dröge                          .                                  
Sudip Shil                                                     +            
Tim-Philipp Müller                                             .            
msizanoen1                                                                + 
Modified Lines:             793        109        186        247         78 

Author                  2023-04    2023-05    2023-07    2023-09    2023-10 
Chun-wei Fan                     +++++++++                   +++            
Jared Wahlstrand                                               .            
Jean Abou Samra                       -+++                                  
Khaled Hosny          -++++++++                                             
Luca Bacci                -++++                                             
Matthias Clasen                                     .   --++++++   ------++ 
Rico Tzschichholz             .                                             
Sergey Bugaev                                       .                       
Seungha Yang                        ++++++                                  
Zander Brown                                +++++++++                       
badcel                        .                                             
Modified Lines:              41         30         60        207          4 

Author                  2023-11    2023-12    2024-01    2024-02    2024-03 
Christian Hergert                                                         . 
Chun-wei Fan           ++++++++   ++++++++                                . 
Matthias Clasen                              ----++++  +++++++++          + 
Peng Wu                                                            ++++++++ 
Sergey Bugaev                 .                                             
Modified Lines:             642        507          4        365        851 

Author                  2024-04    2024-05    2024-06    2024-07    2024-10 
Benjamin Otte                                                             . 
Elliott Sales de And             ---++++++                                  
Emmanuele Bassi               -                                             
John Ralls                                    +++++++                       
Kim Woelders                 -+                                             
Luca Bacci                    -                                             
Matthias Clasen       ---------         ++              ----++++   -------+ 
Niels De Graef                           .                                  
Peng Wu                                  .         ++                       
Seungha Yang                             .                                  
Thomas Haller                            .   ---+++++                       
correctmost                              .                                  
Modified Lines:              41        905         44          6        123 

Author                  2024-11    2024-12    2025-01    2025-02    2025-03 
Alessandro Astone                                   .                       
Chun-wei Fan                 --                     .                       
John Ralls                               .                                  
Luca Bacci                               .                                  
Matthias Clasen        --++++++   --++++++   -+++++++              -+++++++ 
Peng Wu                --++++++          .                                . 
Sebastian Dröge               .                                             
Sergey Bugaev                            .              ----++++         -+ 
sshil                                    .                                  
Modified Lines:            3892        274        763          8        361 

Author                  2025-05    2025-06    2025-07    2025-08    2025-09 
Akira TAGOH                                         .                       
Benjamin Otte                      ------+                                  
Guillaume Ayoub                                     .                       
Khaled Hosny                                +++++++++                       
Lovell Fuller                                       -                       
Luca Bacci                                                     +            
Matthias Clasen                  ---++++++             --+++++++            
Peng Wu                                                            ---+++++ 
Sergey Bugaev          ----++++                                             
Xavid Pretzer                            .                     .            
correctmost                                         -          .            
kramo                                    .                                  
Modified Lines:              15       2535        147        779       1577 

Author                  2025-10    2025-11    2025-12    2026-01    2026-02 
Alvin Wong                                    +++++++                       
Matthias Clasen                  +++++++++              ----++++            
Peng Wu                                     +++++++++                       
Pierre SOUCHAY        +++++++++                                             
Rudi Heitbaum                                                      ---+++++ 
two                                                                       . 
Modified Lines:               3          1         37          4         65 

Author                  2026-03    2026-04    2026-06    2026-07    2026-08 
Behdad Esfahbod       +++++++++                                             
Benjamin Otte                     ----++++                                  
Bilal Elmoussaoui                                   .                       
Khaled Hosny                                       ++             ---++++++ 
Matt Turner                                                               . 
Matthias Clasen               .             -++++++++   ----++++            
Peng Wu                       .                                             
Sergey Bugaev                 .                                             
Modified Lines:             835         24        829         10        296 

The following files are suspiciously big (in order of severity):
pango/pango-layout.c (6169 estimated lines of code)
pango/pangofc-fontmap.c (3469 estimated lines of code)
pango/pango-attributes.c (2549 estimated lines of code)
pango/break.c (2237 estimated lines of code)
pango/fonts.c (2126 estimated lines of code)
pango/pangocoretext-fontmap.c (1980 estimated lines of code)
pango/pango-break-table.h (1954 estimated lines of code)
pango/pango-markup.c (1765 estimated lines of code)
pango/serializer.c (1727 estimated lines of code)
pango/json/gtkjsonparser.c (1664 estimated lines of code)
pango/itemize.c (1534 estimated lines of code)
pango/pangowin32-fontmap.c (1496 estimated lines of code)
tests/testattributes.c (1412 estimated lines of code)
pango/pango-color-table.h (1343 estimated lines of code)
pango/pangocairo-font.c (1325 estimated lines of code)
pango/pango-renderer.c (1284 estimated lines of code)
pango/pangocairo-render.c (1262 estimated lines of code)
tests/test-font.c (1248 estimated lines of code)
pango/pangowin32.c (1117 estimated lines of code)
utils/viewer-render.c (974 estimated lines of code)
pango/pangofc-font.c (963 estimated lines of code)
utils/viewer-pangocairo.c (910 estimated lines of code)
tests/testmisc.c (882 estimated lines of code)
pango/pangowin32-dwrite-fontmap.cpp (841 estimated lines of code)
pango/pango-utils.c (831 estimated lines of code)
pango/pangoxft-render.c (828 estimated lines of code)
pango/shape.c (764 estimated lines of code)
pango/pangoft2-render.c (617 estimated lines of code)
tests/test-bidi.c (612 estimated lines of code)
pango/ellipsize.c (608 estimated lines of code)
pango/pango-language.c (606 estimated lines of code)
pango/pango-glyph-item.c (597 estimated lines of code)
pango/glyphstring.c (570 estimated lines of code)
pango/pango-version-macros.h (565 estimated lines of code)
pango/pango-language-sample-table.h (554 estimated lines of code)
examples/cairotwisted.c (532 estimated lines of code)
pango/pango-font.h (495 estimated lines of code)
pango/pango-emoji-table.h (460 estimated lines of code)
pango/pango-layout.h (422 estimated lines of code)
pango/pango-attributes.h (375 estimated lines of code)
pango/pango-impl-utils.h (320 estimated lines of code)

The following files have an elevated cyclomatic complexity (in order of severity):
pango/pango-layout.c (1983 in cyclomatic complexity)
pango/break.c (1262 in cyclomatic complexity)
pango/pango-attributes.c (839 in cyclomatic complexity)
pango/pangofc-fontmap.c (816 in cyclomatic complexity)
pango/json/gtkjsonparser.c (659 in cyclomatic complexity)
pango/fonts.c (606 in cyclomatic complexity)
pango/serializer.c (565 in cyclomatic complexity)
pango/pango-markup.c (473 in cyclomatic complexity)
pango/itemize.c (406 in cyclomatic complexity)
pango/pangocoretext-fontmap.c (402 in cyclomatic complexity)
pango/pangocairo-font.c (331 in cyclomatic complexity)
pango/pango-renderer.c (330 in cyclomatic complexity)
pango/pangowin32.c (261 in cyclomatic complexity)
pango/pangowin32-fontmap.c (258 in cyclomatic complexity)
utils/viewer-render.c (249 in cyclomatic complexity)
pango/pango-utils.c (241 in cyclomatic complexity)
pango/pangocairo-render.c (234 in cyclomatic complexity)
pango/pangowin32-dwrite-fontmap.cpp (229 in cyclomatic complexity)
tests/test-font.c (226 in cyclomatic complexity)
pango/shape.c (215 in cyclomatic complexity)
tests/validate-log-attrs.c (204 in cyclomatic complexity)
tests/testattributes.c (194 in cyclomatic complexity)
pango/pangofc-font.c (180 in cyclomatic complexity)
pango/ellipsize.c (169 in cyclomatic complexity)
tests/test-bidi.c (166 in cyclomatic complexity)
pango/pango-language.c (164 in cyclomatic complexity)
pango/pango-glyph-item.c (163 in cyclomatic complexity)
pango/glyphstring.c (158 in cyclomatic complexity)
tests/test-shape.c (149 in cyclomatic complexity)
utils/viewer-pangocairo.c (141 in cyclomatic complexity)
examples/cairotwisted.c (137 in cyclomatic complexity)
pango/pango-bidi-type.c (132 in cyclomatic complexity)
pango/pangoft2-render.c (128 in cyclomatic complexity)
utils/pango-segmentation.c (125 in cyclomatic complexity)
tests/testmisc.c (125 in cyclomatic complexity)
tests/testboundaries_ucd.c (124 in cyclomatic complexity)
pango/emoji_presentation_scanner.c (123 in cyclomatic complexity)
pango/pango-tabs.c (116 in cyclomatic complexity)
pango/pangoft2.c (115 in cyclomatic complexity)
pango/pangoxft-render.c (113 in cyclomatic complexity)
tests/test-break.c (111 in cyclomatic complexity)
pango/pango-context.c (105 in cyclomatic complexity)
tests/test-itemize.c (104 in cyclomatic complexity)
pango/pangowin32-fontcache.c (104 in cyclomatic complexity)
tests/testboundaries.c (96 in cyclomatic complexity)
examples/pangowin32tobmp.c (94 in cyclomatic complexity)
pango/pangoxft-font.c (91 in cyclomatic complexity)
pango/pangocairo-context.c (90 in cyclomatic complexity)
pango/pango-emoji.c (89 in cyclomatic complexity)
pango/json/gtkjsonprinter.c (87 in cyclomatic complexity)
pango/pango-item.c (86 in cyclomatic complexity)
tests/testrandom.c (79 in cyclomatic complexity)
pango/pango-color.c (78 in cyclomatic complexity)
pango/pango-fontmap.c (77 in cyclomatic complexity)
tools/gen-script-for-lang.c (75 in cyclomatic complexity)
pango/pango-script.c (66 in cyclomatic complexity)
pango/pango-matrix.c (63 in cyclomatic complexity)
tests/markup-parse.c (59 in cyclomatic complexity)
pango/pango-gravity.c (59 in cyclomatic complexity)
tools/gen-break-table.py (58 in cyclomatic complexity)
tests/testserialize.c (58 in cyclomatic complexity)
pango/pangocoretext.c (58 in cyclomatic complexity)
utils/viewer-cairo.c (54 in cyclomatic complexity)
tests/testscript.c (52 in cyclomatic complexity)

The following files have an elevated cognitive complexity (in order of severity):
pango/pango-layout.c (1151 in cognitive complexity)
pango/break.c (621 in cognitive complexity)
pango/pangofc-fontmap.c (443 in cognitive complexity)
pango/pango-attributes.c (325 in cognitive complexity)
pango/json/gtkjsonparser.c (319 in cognitive complexity)
pango/pango-markup.c (250 in cognitive complexity)
pango/pangocoretext-fontmap.c (247 in cognitive complexity)
pango/itemize.c (221 in cognitive complexity)
pango/fonts.c (217 in cognitive complexity)
pango/pango-utils.c (159 in cognitive complexity)
pango/pangowin32.c (152 in cognitive complexity)
pango/pangowin32-fontmap.c (145 in cognitive complexity)
pango/shape.c (144 in cognitive complexity)
pango/pangocairo-render.c (144 in cognitive complexity)
pango/pangocairo-font.c (140 in cognitive complexity)
tests/test-bidi.c (138 in cognitive complexity)
pango/serializer.c (128 in cognitive complexity)
pango/pangowin32-dwrite-fontmap.cpp (127 in cognitive complexity)
pango/glyphstring.c (124 in cognitive complexity)
utils/viewer-render.c (123 in cognitive complexity)
pango/pango-renderer.c (123 in cognitive complexity)
pango/pango-glyph-item.c (112 in cognitive complexity)
utils/viewer-pangocairo.c (106 in cognitive complexity)
tests/validate-log-attrs.c (106 in cognitive complexity)
pango/pangofc-font.c (91 in cognitive complexity)
pango/pangoft2-render.c (90 in cognitive complexity)
pango/pango-language.c (75 in cognitive complexity)
pango/pangoft2.c (69 in cognitive complexity)
pango/ellipsize.c (64 in cognitive complexity)
pango/pangoxft-render.c (57 in cognitive complexity)
tools/gen-script-for-lang.c (55 in cognitive complexity)
tests/test-shape.c (55 in cognitive complexity)
pango/pango-tabs.c (54 in cognitive complexity)
pango/pango-script.c (54 in cognitive complexity)
pango/emoji_presentation_scanner.c (54 in cognitive complexity)
tests/test-break.c (53 in cognitive complexity)
pango/pango-item.c (52 in cognitive complexity)
utils/pango-segmentation.c (48 in cognitive complexity)
pango/pangowin32-fontcache.c (48 in cognitive complexity)
tests/testboundaries_ucd.c (46 in cognitive complexity)
examples/pangowin32tobmp.c (46 in cognitive complexity)

The following responsibilities, by author, were found in the current revision of
the repository (comments are excluded from the line count, if possible):

Aaron Boxer is mostly responsible for:
     9 pango/pangowin32-fontmap.c
     1 pango/pangowin32-private.h

Aki Sakurai is mostly responsible for:
     1 pango/pango-engine.h

Akira TAGOH is mostly responsible for:
    11 pango/pangocoretext-fontmap.c
     8 pango/pangofc-fontmap.c
     5 pango/pangowin32-fontmap.c
     3 pango/pango-ot-info.c
     1 pango/pangoft2-fontmap.c
     1 pango/pangocairo-fcfontmap.c

Alessandro Astone is mostly responsible for:
    29 pango/pangofc-fontmap.c

Alessandro Pignotti is mostly responsible for:
    17 pango/pangoxft-fontmap.c
     9 pango/pangowin32-fontmap.c
     4 pango/pango-utils.c

Alexander Kanavin is mostly responsible for:
     1 pango/pango-item-private.h

Alexander Larsson is mostly responsible for:
   123 pango/pangoft2.c
   117 pango/pangowin32-fontmap.c
   103 pango/pango-fontmap.c
    87 pango/pango-fontset.c
    83 pango/pango-layout.c
    83 pango/pango-fontset-simple.c
    83 pango/pango-context.c
    67 pango/pangowin32.c
    38 pango/pangofc-fontmap.c
    38 pango/pango-fontset.h

Alvin Wong is mostly responsible for:
    16 pango/itemize.c

Anders Carlsson is mostly responsible for:
    41 pango/pangocoretext-fontmap.c
     3 pango/pangocairo-coretext.h
     2 pango/pangocairo-coretextfontmap.c
     1 pango/pangocairo-coretextfont.c

Artem Rebrov is mostly responsible for:
     6 pango/pango-layout.c

Behdad Esfahbod is mostly responsible for:
  1066 pango/pango-layout.c
  1056 pango/pangocairo-font.c
   978 pango/pangofc-fontmap.c
   808 pango/pangocairo-render.c
   797 utils/viewer-render.c
   495 examples/cairotwisted.c
   493 pango/pango-language-sample-table.h
   447 pango/pango-language.c
   417 utils/viewer-pangocairo.c
   409 pango/fonts.c

Benjamin Otte is mostly responsible for:
   604 pango/pango-color-table.h
   288 tests/testrandom.c
    94 pango/pangowin32-fontmap.c
    28 pango/pangowin32-dwrite-fontmap.cpp
     8 pango/pangocairo-win32fontmap.c
     6 pango/pangocairo-win32font.c
     6 pango/fonts.c
     4 tests/test-font.c
     3 pango/pango-layout.c
     2 tests/test-fonts.c

Bilal Elmoussaoui is mostly responsible for:
     5 pango/pango-ot.h
     3 pango/pangoxft.h
     3 pango/pangocairo.h
     3 pango/pangocairo-win32.h
     3 pango/pango-glyph-item.h
     2 pango/pangoxft-render.h
     2 pango/pangoft2.h
     2 pango/pangofc-fontmap.h
     2 pango/pangofc-decoder.h
     2 pango/pangocoretext.h

Biswapriyo Nath is mostly responsible for:
     1 tests/test-common.c
     1 pango/pango-tabs.c

Caleb Hearon is mostly responsible for:
    18 pango/pangofc-fontmap.c
    10 pango/pangofc-fontmap.h
     5 pango/pangoxft-fontmap.c
     4 pango/pangoft2-fontmap.c
     2 pango/pangoxft.h
     2 pango/pangocairo-fcfontmap.c
     1 pango/pangoft2.h
     1 pango/pangofc-fontmap-private.h

Carl Worth is mostly responsible for:
     1 examples/cairotwisted.c
     1 examples/cairosimple.c
     1 examples/cairoshape.c

Chris Wilson is mostly responsible for:
    21 pango/break-thai.c
    12 pango/pango-script.c
    11 pango/pango-script-private.h
     5 pango/itemize.c
     5 pango/break.c
     1 pango/pango-context.c

Christian Hergert is mostly responsible for:
     3 pango/pangocoretext-fontmap.c
     2 pango/pangofc-fontmap.c
     2 pango/pango-bidi-type.c

Christian Persch is mostly responsible for:
     6 pango/pango-layout.c
     6 pango/pango-glyph-item.c
     6 pango/fonts.c
     3 pango/pango-tabs.c
     3 pango/pango-matrix.c
     3 pango/pango-language.c
     3 pango/pango-item.c
     3 pango/pango-color.c
     3 pango/glyphstring.c

Christoph Reiter is mostly responsible for:
   145 pango/pangowin32-fontmap.c

Christopher Blizzard is mostly responsible for:
    52 pango/pangofc-font.c
    43 pango/pangofc-fontmap.c
    42 pango/pangofc-decoder.h
    27 pango/pangofc-decoder.c
     9 pango/pangofc-fontmap.h
     6 pango/pangofc-private.h
     3 tools/gen-script-for-lang.c
     3 pango/pango-renderer.h

Chun-wei Fan is mostly responsible for:
   726 pango/pangowin32-dwrite-fontmap.cpp
   347 pango/pango-version-macros.h
   201 pango/pangowin32-fontmap.c
   103 pango/pangowin32.c
    87 pango/pango-layout.h
    60 pango/pangowin32-private.h
    59 pango/pango-font.h
    50 pango/pango-attributes.h
    35 pango/pangowin32-private.hpp
    35 pango/pango-ot.h

Cody Russell is mostly responsible for:
     5 pango/pangocoretext-fontmap.c

Colin Walters is mostly responsible for:
     5 pango/pango-utils.c
     1 pango/pango-fontmap-private.h

Darin Adler is mostly responsible for:
     7 pango/pango-markup.c
     6 pango/pango-utils.c
     3 pango/fonts.c
     2 pango/pangoft2.h

Dominique Quatravaux is mostly responsible for:
     2 pango/pangocoretext-fontmap.c

Ebrahim Byagowi is mostly responsible for:
     2 pango/pango-ot-tag.c
     1 pango/shape.c
     1 pango/pango-ot-private.h

Egmont Koblinger is mostly responsible for:
     2 pango/pango-font.h

Elliot Lee is mostly responsible for:
    16 pango/pango-layout.c
     4 pango/pango-modules.h
     4 pango/modules.c
     1 pango/pango-layout.h
     1 pango/pango-fontmap.h
     1 pango/pango-font.h
     1 pango/pango-coverage.h
     1 pango/pango-coverage.c
     1 pango/pango-context.h
     1 pango/pango-attributes.c

Elliott Sales de Andrade is mostly responsible for:
    87 tests/testmisc.c
    52 tests/test-font.c
    37 tests/test-fonts.c
    29 tests/test-layout.c
    29 tests/test-bidi.c
    26 tests/testserialize.c
    15 tests/test-ellipsize.c
    12 tests/testiter.c
    12 tests/test-itemize.c
    10 tests/test-no-fonts.c

Emmanuele Bassi is mostly responsible for:
    49 pango/pango-version-macros.h
    32 pango/pango-ot.h
    31 tests/gen-all-unicode.py
    30 tests/test-itemize.c
    28 tests/testboundaries.c
    27 tests/test-break.c
    23 pango/pango-ot-tag.c
    22 tests/test-layout.c
    22 tests/test-fonts.c
    22 build-aux/meson/dist-docs.py

Eric Mader is mostly responsible for:
     2 pango/pango-ot-ruleset.c

Evan Nemerson is mostly responsible for:
     2 pango/pango-attributes.h
     1 pango/pango-fontset.h

Evgenii Gurianov is mostly responsible for:
     9 pango/pangowin32-fontmap.c

Fabian Groffen is mostly responsible for:
     1 pango/pango-utils-private.h

Fabrice Fontaine is mostly responsible for:
     1 utils/viewer-cairo.c

Federico Mena Quintero is mostly responsible for:
    18 pango/pangofc-fontmap.c
    12 pango/pangofc-font.c
     3 pango/pango-script.c
     1 pango/pangofc-private.h
     1 pango/pangocairo-font.c
     1 pango/pangocairo-fcfont.c

Hans Breuer is mostly responsible for:
   314 examples/pangowin32tobmp.c
   106 pango/pangowin32-fontmap.c
    46 pango/pangowin32.c
     7 pango/pangowin32-private.h
     6 pango/pangowin32.h
     4 pango/pango-coverage.c
     3 pango/pango-gravity.c
     2 pango/pangofc-decoder.c
     2 pango/fonts.c
     1 pango/shape.c

Havoc Pennington is mostly responsible for:
   977 pango/pango-markup.c
   844 pango/pango-layout.c
   310 pango/break.c
   239 tests/testboundaries.c
   225 pango/pango-tabs.c
    95 tests/dump-boundaries.c
    80 pango/pango-attributes.c
    63 pango/pango-layout.h
    46 tests/validate-log-attrs.c
    40 pango/pango-tabs.h

Hugo Herbelin is mostly responsible for:
     1 pango/pangocoretext-fontmap.c

James Henstridge is mostly responsible for:
    13 pango/glyphstring.c
     6 pango/pango-language.c
     4 pango/pango-font.h
     3 pango/pango-glyph.h
     2 pango/pango-tabs.h
     2 pango/pango-language.h
     1 pango/pango-types.h
     1 pango/pango-tabs.c
     1 pango/fonts.c

Jan Alexander Steffens (heftig) is mostly responsible for:
     2 pango/pango-layout.c
     1 tests/test-font.c

Jared Wahlstrand is mostly responsible for:
     1 pango/pangowin32-dwrite-fontmap.cpp

Jasper St. Pierre is mostly responsible for:
    64 pango/pango-markup.c
     2 pango/pango-markup.h

Javier Jardón is mostly responsible for:
    29 pango/pango-engine.c
     8 pango/pangofc-fontmap.c
     6 pango/pango-ot-info.c
     6 pango/pango-fontset.c
     5 pango/pangocairo-fontmap.c
     4 pango/pangocairo-font.c
     4 pango/pango-ot-ruleset.c
     4 pango/pango-fontset-simple.c
     3 pango/pangocoretext-fontmap.c
     1 pango/pango-renderer.c

Jean Abou Samra is mostly responsible for:
     3 pango/pangoxft-fontmap.c
     2 pango/pangoft2-fontmap.c

Jean Brefort is mostly responsible for:
     1 pango/pango-attributes.c

Jeremy Tan is mostly responsible for:
    13 pango/pangocoretext-fontmap.c

Jody Goldberg is mostly responsible for:
    11 pango/pango-layout.c

Johan Dahlin is mostly responsible for:
     1 utils/viewer-x.c
     1 utils/viewer-render.c
     1 utils/viewer-pangoxft.c
     1 utils/viewer-pangoft2.c
     1 utils/viewer-pangocairo.c
     1 utils/viewer-main.c
     1 utils/viewer-cairo.c
     1 utils/pango-view.c
     1 tools/gen-script-for-lang.c
     1 tests/validate-log-attrs.c

John Ralls is mostly responsible for:
    99 pango/pangocoretext-fontmap.c
    17 pango/pangocairo-coretextfont.c
     5 pango/pangocoretext.c
     4 pango/pangocairo-fontmap.c
     3 pango/pango-font.h
     2 pango/pangocoretext-private.h
     2 pango/pangocairo-coretextfontmap.c
     2 pango/pango-language-sample-table.h
     1 tests/test-shape.c
     1 tests/test-no-fonts.c

Jonas Dreßler is mostly responsible for:
    41 pango/pango-attributes.c
     4 pango/pango-attributes.h

Jonathan Blandford is mostly responsible for:
    39 pango/pango-attributes.c

Jordan Petridis is mostly responsible for:
     3 tests/testmatrix.c

Jordi Mas is mostly responsible for:
    22 pango/break-latin.c
     6 pango/break.c

Keith Packard is mostly responsible for:
     9 utils/viewer-x.c
     1 pango/pangoxft-font.c

Khaled Hosny is mostly responsible for:
   123 pango/pangocairo-font.c
   113 pango/pangocairo-coretextfont.c
   105 pango/pango-impl-utils.h
    74 pango/pangocoretext-fontmap.c
    57 pango/pangocoretext.c
    45 pango/pango-bidi-type.c
    30 utils/viewer-cocoa.h
    18 utils/viewer-cairo.c
    17 pango/pangofc-fontmap.c
    15 pango/pango-script.c

Kim Woelders is mostly responsible for:
     4 pango/pangoxft-fontmap.c

Kristian Rietveld is mostly responsible for:
  1377 pango/pangocoretext-fontmap.c
