Statistical information for the repository 'pango' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Wouter Bolsterlee                1            10             10            0.00
Xavid Pretzer                    2            69             11            0.02
Yongsu Park                      2           152             82            0.04
Zander Brown                     1            48              0            0.01
aihui zhu                        1             2              2            0.00
badcel                           1             1              1            0.00
correctmost                      3             2             21            0.00
kramo                            1             2              2            0.00
milotype                         1             3              3            0.00
misos1                           1             8              7            0.00
msizanoen1                       1            10              0            0.00
sshil                            1            12              0            0.00
two                              2             3              1            0.00
Total                         4341        309323         223841          100.00

Below are the number of lines from each author that have survived and are still
intact in the current revision:

Author                    Lines      Stability          Age       % in comments
Aaron Boxer                  10           76.9         74.2                0.00
Aki Sakurai                   1          100.0         49.3                0.00
Akira TAGOH                  30           88.2         86.1                3.33
Alberto Ruiz                 24           10.6        183.5              100.00
Alessandro Astone            39           95.1         18.6               25.64
Alessandro Pignotti          32           61.5        182.5                6.25
Alexander Kanavin             1          100.0         55.7                0.00
Alexander Larsson          1210           10.3        259.9                8.76
Alvin Wong                   16           94.1          7.9                0.00
Anders Carlsson              54            3.3        248.5               12.96
Artem Rebrov                  6           37.5         60.9                0.00
Behdad Esfahbod           18714           22.6        204.3               20.74
Benjamin Otte              1083           87.5        106.6                2.77
Bilal Elmoussaoui            73           94.8         22.8               38.36
Biswapriyo Nath               2          100.0         58.1                0.00
Caleb Hearon                 75           65.2         73.9               42.67
Carl Worth                    3          100.0        256.2                0.00
Chris Wilson                 62           47.0        210.1               11.29
Christian Hergert             7           63.6         69.2                0.00
Christian Persch             36           90.0        218.5                0.00
Christoph Reiter            154           82.8         80.5                5.84
Christopher Blizzard        253           60.4        267.6               26.88
Chun-wei Fan               2513           60.1         86.9               13.97
Cody Russell                  5          125.0        141.4                0.00
Colin Walters                13           21.0        175.5               53.85
Darin Adler                  18           31.6        294.1                0.00
Dominique Quatravaux          2          100.0         42.5                0.00
Dov Grobgeld                 10            1.2        294.7              100.00
Ebrahim Byagowi               4           44.4         72.2                0.00
Egmont Koblinger              2          100.0         85.3                0.00
Elliot Lee                   35           17.5        310.5                8.57
Elliott Sales de And        351           88.6         28.5                0.00
Emmanuele Bassi             577           71.3         82.3               10.23
Eric Mader                    2            0.1        291.1                0.00
Evan Nemerson                83           21.8        151.2               96.39
Evgenii Gurianov              9           75.0         72.0                0.00
Fabian Groffen                1          100.0        169.7                0.00
Fabrice Fontaine              1          100.0         52.2                0.00
Federico Mena Quinte         45            0.5        136.2               20.00
Felix Yan                     1          100.0         71.7              100.00
Guido Günther                 1          100.0         54.2              100.00
Guillaume Gomez             143           96.0         45.7              100.00
Hans Breuer                 563           43.7        295.0               12.61
Havoc Pennington           3702           45.9        308.6               13.13
Hugo Herbelin                 1          100.0         46.0                0.00
James Henstridge             40           32.5        301.1               17.50
Jan Alexander Steffe          3           33.3         72.2                0.00
Jared Wahlstrand              1          100.0         34.8                0.00
Jasper St. Pierre            86           47.5        169.0               23.26
Javier Jardón                72           53.7        183.2                2.78
Jean Abou Samra               5          100.0         38.1                0.00
Jean Brefort                  1          100.0        250.8                0.00
Jeremy Bicha                  1          100.0         58.5              100.00
Jeremy Tan                   16           88.9         78.6               18.75
Jody Goldberg                12           54.5        266.4                8.33
Johan Dahlin                 72           66.7        217.5                0.00
John (J5) Palmieri            4           12.9        185.6              100.00
John Ralls                  152           66.1        137.2                8.55
Jonas Dreßler                52           65.0         77.7               13.46
Jonathan Blandford           45           42.1        311.0               13.33
Jordan Petridis              11          100.0         52.8               72.73
Jordi Mas                    33           49.3         57.2               15.15
José Aliste                   2          100.0        159.2              100.00
Keith Packard                10           32.3        254.6                0.00
Khaled Hosny                703           68.3         41.8                9.10
Kim Woelders                  4          100.0         28.9                0.00
Kristian Rietveld          2190           52.0        185.4                6.39
Krzesimir Nowak              29          100.0        127.7              100.00
Luca Bacci                  183           96.8         27.9                8.20
Manish Singh                121           43.5        267.6                0.83
Marco Trevisan (Trev         27          112.5         60.7               48.15
Matej Knopp                   3           75.0        182.2                0.00
Mathias Hasselmann           24           82.8        231.1               16.67
Matt Turner                   8          100.0          0.0               12.50
Matthias Clasen           32205           68.0         66.3               22.64
Michael Catanzaro           135           96.4         86.3               93.33
Mike FABIAN                  17           37.0         77.9                0.00
Miloš Komarčević              1          100.0         51.8                0.00
Morten Welinder               8           61.5        271.7                0.00
Naveen M K                    2          100.0         65.6                0.00
Nicolas Hake                 56          100.0        120.8                3.57
Niels De Graef                2          100.0         26.4                0.00
Noah Levitt                 287           29.8        270.1               12.20
ONO Yoshio                  105           99.1         93.6                8.57
Owen Taylor               22490           23.7        239.8               27.47
Owen W. Taylor               16           72.7        178.5                0.00
Padraig O'Briain             11           73.3        295.3               36.36
Patrick Griffis               5          100.0        104.5                0.00
Pavel Holejsovsky            15           53.6        170.1              100.00
Peng Wu                    3435           58.5         52.9                7.77
Philip Withnall              34           63.0        122.7               38.24
Pierre SOUCHAY                3          100.0          9.6                0.00
Pravdomil Toman              20           66.7         97.3                0.00
Richard Hult                 26            3.9        228.8               19.23
Rico Tzschichholz             6           35.3         67.2               83.33
Robert Brady                  1            0.0        309.0              100.00
Roozbeh Pournader            43           20.9        238.7               58.14
Ross Burton                   6           42.9         89.1                0.00
Rudi Heitbaum                33           91.7          5.2                0.00
Ryan Lortie                  35           89.7        181.9                0.00
Ryan Schmidt                  2           12.5         96.0                0.00
Sebastian Dröge              14           77.8        112.1               35.71
Sebastian Keller             32           76.2         56.4               37.50
Sebastian Wilhelmi           45          136.4        308.8                4.44
Sergey Bugaev                85           98.8         18.9               78.82
Seungha Yang                 11           14.3         39.6               18.18
Simon McVittie               16           94.1         69.9                0.00
Soeren Sandmann              50           43.5        280.1               18.00
Stephan Bergmann              6          100.0         70.8                0.00
Suyuan Chang                  5          100.0         90.3               40.00
Sven Herzberg                 9           52.9        215.8              100.00
Sven Neumann                153           26.1        283.8               16.34
Szunti                        6           60.0         67.2                0.00
Tavmjong Bah                  4          100.0         64.6               50.00
Thomas Haller                37           74.0         28.7                2.70
Tim-Philipp Müller            6          100.0         45.0                0.00
Timm Bäder                  553           77.5         80.9                2.71
Ting-Wei Lan                  3           60.0         92.8                0.00
Tor Lillqvist              2068           16.2        282.5               14.51
Victor Mireyev                1          100.0         63.9              100.00
Weng Xuetian                 12           80.0         66.6                0.00
