Statistical information for the repository 'django' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Anders Steinlein                 1           200             57            0.01
Anderson Resende                 3            32             29            0.00
Andi Albrecht                    1            39              1            0.00
Andra Denis Ionescu              1             8              2            0.00
Andre Cruz                       1           323             11            0.02
Andrea Crotti                    1             2              0            0.00
Andrea Grandi                    1            17              0            0.00
Andrea Zanotto                   1           122             12            0.01
Andreas                          1             5              1            0.00
Andreas Dickow                   1          5684           4353            0.54
Andreas Hug                      2            75             11            0.00
Andreas Pelme                    6           635            177            0.04
Andrei Antoukh                   3           379             19            0.02
Andrei Fokau                     2            76              2            0.00
Andrei Kulakov                   4           175             35            0.01
Andrei Picus                     1             1              1            0.00
Andreu Vallbona                  1           151             15            0.01
Andrew                           2             9             39            0.00
Andrew Artajos                   1            11              2            0.00
Andrew Brown                     4            80             11            0.00
Andrew Clark                     1            17              2            0.00
Andrew Cordery                   1            60              1            0.00
Andrew Godwin                  351         17304           3396            1.12
Andrew Gorcester                 4           452             83            0.03
Andrew Harris                    1            60              6            0.00
Andrew Jesaitis                  6            28             31            0.00
Andrew Kuchev                    3            92             34            0.01
Andrew Miller                    3            51              5            0.00
Andrew Neitsch                   1            28              6            0.00
Andrew Nester                   10           270             33            0.02
Andrew Northall                  2            11            174            0.01
Andrew Pinkham                   3            74              7            0.00
Andrew Torpedov                  1            24              9            0.00
Andrew-Chen-Wang                 1           274              0            0.01
Andrews Medina                   1             1              1            0.00
Andrey Antukh                    1             5              0            0.00
Andrey Fedoseev                  1            24             78            0.01
Andrey Kostakov                  1             3              3            0.00
Andrey Kuzmin                    2            35              4            0.00
Andrey Kuzminov                  1             5              3            0.00
Andrey Maslov                    1            27              2            0.00
Andrey Otto                      1             1              0            0.00
Andrii Kohut                     1            31              5            0.00
Andriy Sokolovskiy              28          1090            154            0.07
Andrzej Pragacz                  1            19              9            0.00
André Ericson                    3           189             56            0.01
Andrés Reverón Molin             1           230              8            0.01
Andy Chosak                      2            56              7            0.00
Andy Craze                       1           939            930            0.10
Andy McKay                       1            24              1            0.00
Anentropic                       1            82              2            0.00
Angus Holder                     1            63              0            0.00
Ankur                            2            26              8            0.00
Anna Makarudze                   1            13              4            0.00
Annabelle Wiegart                3           260             80            0.02
Anoop Thomas Mathew              1            10              6            0.00
Anssi Kääriäinen               331         14914           8526            1.27
Anthony Joseph                   2            69              1            0.00
Anthony Sottile                  1            76             19            0.01
Antoine Catton                   4           191             11            0.01
Antoine Cheneau                  1            41              0            0.00
Antoine Fontaine                 1             8              4            0.00
Antoine Lorence                  1            31              3            0.00
Antoliny0919                     1            16              0            0.00
Anton Baklanov                   7           271             53            0.02
Anton Bazhanov                   1             4              3            0.00
Anton Danilchenko                1             4              7            0.00
Anton I. Sipos                   3            72              4            0.00
Anton Novosyolov                 1             6              1            0.00
Anton Samarchyan                32          3628           3998            0.41
Antonio Garcia-Domin             1            27              0            0.00
Antonis Christofides             2            73              6            0.00
Antti Hirvonen                   1            25              7            0.00
Anubhav Joshi                   23          1524            596            0.11
Anurag Verma                     1             4              1            0.00
Anv3sh                           3           159             42            0.01
Anvesh Mishra                    1            42              2            0.00
Anže Pečar                       3           176             11            0.01
Arfey                            1           268             15            0.02
